Prior ID,Heterogeneity statistic,Data Type,Effect Measure,Distribution form,Type of Intervention,Nature of Outcome,Medical area,Average Sample Size,Mean,SD,Median,2.5% Quantile,97.5% Quantile,Notes,Reference
146,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Physical health/adverse event/pain/quality of life/functioning,Cancer,Any,-0.46,2.4,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
147,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Cancer,Any,-0.3,2.46,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
148,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Mental health indicators,Cancer,Any,-0.29,2.08,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
149,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Biological markers,Cancer,Any,-0.71,2.78,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
150,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Subjective,Cancer,Any,-0.06,2.53,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
151,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs placebo/control,Obstetric,Respiratory disease,Any,-6.03,2.36,0.016,0.0002,1.86,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
152,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs placebo/control,Resource use/hospital stay/process,Respiratory disease,Any,-4.46,2.74,0.078,0.0004,21.3,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
153,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs placebo/control,Internal/external structure related outcomes,Respiratory disease,Any,-4.33,2.51,0.086,0.0007,12.9,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
154,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs placebo/control,Physical health/adverse event/pain/quality of life/functioning,Respiratory disease,Any,-5.07,2.51,0.04,0.0003,7.02,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
155,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs placebo/control,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Respiratory disease,Any,-4.9,2.5,0.048,0.0004,7.56,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
156,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs placebo/control,Mental health indicators,Respiratory disease,Any,-4.9,2.5,0.049,0.0007,4.7,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
157,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs placebo/control,Biological markers,Respiratory disease,Any,-5.31,2.83,0.033,0.0001,10.2,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
158,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs placebo/control,Subjective,Respiratory disease,Any,-4.66,2.59,0.063,0.0003,12,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
159,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs pharmacological,Obstetric,Respiratory disease,Any,-6.31,2.31,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
160,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs pharmacological,Resource use/hospital stay/process,Respiratory disease,Any,-4.73,2.7,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
161,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs pharmacological,Internal/external structure related outcomes,Respiratory disease,Any,-4.61,2.46,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
162,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs pharmacological,Physical health/adverse event/pain/quality of life/functioning,Respiratory disease,Any,-5.34,2.45,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
163,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs pharmacological,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Respiratory disease,Any,-5.18,2.47,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
164,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs pharmacological,Mental health indicators,Respiratory disease,Any,-5.17,2.14,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
165,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs pharmacological,Biological markers,Respiratory disease,Any,-5.59,2.78,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
166,Tau-squared,Continuous,Standardised mean difference,Log-t,Pharmacological vs pharmacological,Subjective,Respiratory disease,Any,-4.94,2.59,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
167,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Obstetric,Respiratory disease,Any,-5.89,2.21,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
168,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Resource use/hospital stay/process,Respiratory disease,Any,-4.32,2.57,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
169,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Internal/external structure related outcomes,Respiratory disease,Any,4.19,2.33,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
170,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Physical health/adverse event/pain/quality of life/functioning,Respiratory disease,Any,-4.93,2.28,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
171,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Respiratory disease,Any,-4.76,2.33,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
172,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Mental health indicators,Respiratory disease,Any,-4.76,1.94,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
173,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Biological markers,Respiratory disease,Any,-5.17,2.66,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
174,Tau-squared,Continuous,Standardised mean difference,Log-t,Non-pharmacological vs any,Subjective,Respiratory disease,Any,-4.52,2.41,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
175,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,General,General,Any,Any,,,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
176,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Obstetric,Any (excluding cancer and respiratory diseases),Any,0.05,0.00004,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
177,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Resource use/hospital stay/process,Any (excluding cancer and respiratory diseases),Any,0.25,0.0004,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
178,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Internal/external structure related outcomes,Any (excluding cancer and respiratory diseases),Any,0.36,0.009,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
179,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Physical health/adverse event/pain/quality of life/functioning,Any (excluding cancer and respiratory diseases),Any,0.21,0.0003,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
180,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Any (excluding cancer and respiratory diseases),Any,0.64,0.003,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
181,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Mental health indicators,Any (excluding cancer and respiratory diseases),Any,0.53,0.00009,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
182,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Biological markers,Any (excluding cancer and respiratory diseases),Any,0.36,0.0003,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
183,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Subjective,Any (excluding cancer and respiratory diseases),Any,0.63,0.03,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
184,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Obstetric,Any (excluding cancer and respiratory diseases),Any,0.38,0.001,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
185,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Resource use/hospital stay/process,Any (excluding cancer and respiratory diseases),Any,0.47,0.01,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
186,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Internal/external structure related outcomes,Any (excluding cancer and respiratory diseases),Any,0.31,0.00003,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
187,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Physical health/adverse event/pain/quality of life/functioning,Any (excluding cancer and respiratory diseases),Any,0.36,0.004,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
188,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Any (excluding cancer and respiratory diseases),Any,1.02,0.0002,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
189,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Mental health indicators,Any (excluding cancer and respiratory diseases),Any,0.29,0.004,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
190,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Biological markers,Any (excluding cancer and respiratory diseases),Any,0.37,0.00009,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
191,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Subjective,Any (excluding cancer and respiratory diseases),Any,0.43,0.02,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
192,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Obstetric,Any (excluding cancer and respiratory diseases),Any,0.44,0.003,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
193,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Resource use/hospital stay/process,Any (excluding cancer and respiratory diseases),Any,0.52,0.03,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
194,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Internal/external structure related outcomes,Any (excluding cancer and respiratory diseases),Any,0.08,0.0007,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
195,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Physical health/adverse event/pain/quality of life/functioning,Any (excluding cancer and respiratory diseases),Any,0.42,0.01,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
196,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Any (excluding cancer and respiratory diseases),Any,0.17,0.0009,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
197,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Mental health indicators,Any (excluding cancer and respiratory diseases),Any,0.46,0.01,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
198,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Biological markers,Any (excluding cancer and respiratory diseases),Any,0.48,0.01,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
199,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Subjective,Any (excluding cancer and respiratory diseases),Any,0.68,0.04,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
200,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Obstetric,Cancer,Any,0.29,0.008,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
201,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Resource use/hospital stay/process,Cancer,Any,0.24,0.007,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
202,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Internal/external structure related outcomes,Cancer,Any,0.2,0.04,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
203,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Physical health/adverse event/pain/quality of life/functioning,Cancer,Any,0.33,0.04,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
204,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Cancer,Any,0.2,0.01,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
205,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Mental health indicators,Cancer,Any,0.17,0.008,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
206,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Biological markers,Cancer,Any,0.28,0.02,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
207,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Subjective,Cancer,Any,0.33,0.11,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
208,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Obstetric,Cancer,Any,0.21,0.005,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
209,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Resource use/hospital stay/process,Cancer,Any,0.26,0.05,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
210,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Internal/external structure related outcomes,Cancer,Any,0.08,0.0002,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
211,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Physical health/adverse event/pain/quality of life/functioning,Cancer,Any,0.23,0.02,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
212,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Cancer,Any,0.27,0.0006,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
213,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Mental health indicators,Cancer,Any,0.2,0.02,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
214,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Biological markers,Cancer,Any,0.21,0.004,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
215,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Subjective,Cancer,Any,0.21,0.06,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
